	Celsius -->	Fahrenheit
	-25 -->	-13.00
	-24 -->	-11.20
	-23 -->	-9.40
	-22 -->	-7.60
	-21 -->	-5.80
	-20 -->	-4.00
	-19 -->	-2.20
	-18 -->	-0.40
	-17 -->	1.40
	-16 -->	3.20
	-15 -->	5.00
	-14 -->	6.80
	-13 -->	8.60
	-12 -->	10.40
	-11 -->	12.20
	-10 -->	14.00
	-09 -->	15.80
	-08 -->	17.60
	-07 -->	19.40
	-06 -->	21.20
	-05 -->	23.00
	-04 -->	24.80
	-03 -->	26.60
	-02 -->	28.40
	-01 -->	30.20
	000 -->	32.00
	001 -->	33.80
	002 -->	35.60
	003 -->	37.40
	004 -->	39.20
	005 -->	41.00
	006 -->	42.80
	007 -->	44.60
	008 -->	46.40
	009 -->	48.20
	010 -->	50.00
	011 -->	51.80
	012 -->	53.60
	013 -->	55.40
	014 -->	57.20
	015 -->	59.00
	016 -->	60.80
	017 -->	62.60
	018 -->	64.40
	019 -->	66.20
	020 -->	68.00
	021 -->	69.80
	022 -->	71.60
	023 -->	73.40
	024 -->	75.20
	025 -->	77.00
	026 -->	78.80
	027 -->	80.60
	028 -->	82.40
	029 -->	84.20
	030 -->	86.00
	031 -->	87.80
	032 -->	89.60
	033 -->	91.40
	034 -->	93.20
	035 -->	95.00
	036 -->	96.80
	037 -->	98.60
	038 -->	100.40
	039 -->	102.20
	040 -->	104.00
	041 -->	105.80
	042 -->	107.60
	043 -->	109.40
	044 -->	111.20
	045 -->	113.00
	046 -->	114.80
	047 -->	116.60
	048 -->	118.40
	049 -->	120.20
	050 -->	122.00
	051 -->	123.80
	052 -->	125.60
	053 -->	127.40
	054 -->	129.20
	055 -->	131.00
	056 -->	132.80
	057 -->	134.60
	058 -->	136.40
	059 -->	138.20
	060 -->	140.00
	061 -->	141.80
	062 -->	143.60
	063 -->	145.40
	064 -->	147.20
	065 -->	149.00
	066 -->	150.80
	067 -->	152.60
	068 -->	154.40
	069 -->	156.20
	070 -->	158.00
	071 -->	159.80
	072 -->	161.60
	073 -->	163.40
	074 -->	165.20
